years_experience,job_role,main_language,education,company_size,salary
21,프론트엔드,JavaScript/TypeScript,석사,대기업 (1000명~),9130
7,풀스택,C/C++,학사,스타트업 (~50명),6470
16,프론트엔드,JavaScript/TypeScript,학사,중소기업 (50~300명),7310
4,모바일,C/C++,고졸,대기업 (1000명~),5950
19,풀스택,C/C++,고졸,중소기업 (50~300명),7440
18,풀스택,C/C++,박사,중견기업 (300~1000명),8690
9,데이터 분석가,Kotlin,학사,대기업 (1000명~),7780
1,프론트엔드,Go,학사,중견기업 (300~1000명),5870
25,DevOps/인프라,C#,학사,중소기업 (50~300명),7950
11,ML 엔지니어,Java,박사,중소기업 (50~300명),8120
23,ML 엔지니어,Go,학사,스타트업 (~50명),8510
17,프론트엔드,Java,석사,스타트업 (~50명),8020
20,ML 엔지니어,JavaScript/TypeScript,학사,스타트업 (~50명),7970
19,DevOps/인프라,C/C++,고졸,대기업 (1000명~),8560
5,프론트엔드,Java,학사,중견기업 (300~1000명),5630
9,ML 엔지니어,C/C++,고졸,중소기업 (50~300명),7250
12,모바일,JavaScript/TypeScript,학사,스타트업 (~50명),6760
12,DevOps/인프라,SQL,학사,중견기업 (300~1000명),7200
1,데이터 분석가,SQL,석사,대기업 (1000명~),5660
14,DevOps/인프라,Python,석사,중소기업 (50~300명),8270
4,프론트엔드,Go,석사,중소기업 (50~300명),5650
19,모바일,Go,고졸,대기업 (1000명~),8270
17,풀스택,C/C++,석사,대기업 (1000명~),9350
23,풀스택,C#,박사,대기업 (1000명~),9660
19,풀스택,SQL,학사,중소기업 (50~300명),8100
9,모바일,C/C++,학사,스타트업 (~50명),6690
25,프론트엔드,Python,석사,중소기업 (50~300명),8680
10,ML 엔지니어,C/C++,학사,중소기업 (50~300명),7170
8,데이터 분석가,JavaScript/TypeScript,학사,대기업 (1000명~),7600
23,DevOps/인프라,C/C++,석사,스타트업 (~50명),9070
9,ML 엔지니어,JavaScript/TypeScript,고졸,중견기업 (300~1000명),7770
1,프론트엔드,Java,학사,대기업 (1000명~),5070
12,백엔드,기타,학사,대기업 (1000명~),8400
20,모바일,Java,학사,중견기업 (300~1000명),8140
4,데이터 분석가,Kotlin,석사,대기업 (1000명~),6490
12,풀스택,Kotlin,학사,스타트업 (~50명),6870
3,DevOps/인프라,Go,학사,중소기업 (50~300명),6180
17,데이터 엔지니어,기타,석사,스타트업 (~50명),8050
12,ML 엔지니어,Python,학사,대기업 (1000명~),8250
8,백엔드,JavaScript/TypeScript,석사,대기업 (1000명~),7950
5,DevOps/인프라,Java,고졸,스타트업 (~50명),5830
14,프론트엔드,Go,학사,스타트업 (~50명),6960
17,데이터 분석가,Go,고졸,중소기업 (50~300명),7290
24,모바일,기타,학사,중소기업 (50~300명),8420
11,DevOps/인프라,C/C++,석사,대기업 (1000명~),8180
4,풀스택,JavaScript/TypeScript,석사,스타트업 (~50명),5160
21,풀스택,기타,박사,중견기업 (300~1000명),9310
16,모바일,Kotlin,학사,중견기업 (300~1000명),7740
18,모바일,Kotlin,석사,중소기업 (50~300명),8790
2,프론트엔드,C#,학사,스타트업 (~50명),4300
8,프론트엔드,C#,석사,대기업 (1000명~),7370
19,풀스택,C/C++,학사,중견기업 (300~1000명),7990
21,데이터 분석가,Kotlin,석사,중소기업 (50~300명),7920
11,모바일,Java,학사,중소기업 (50~300명),6700
20,모바일,기타,학사,대기업 (1000명~),9450
21,ML 엔지니어,Java,석사,대기업 (1000명~),10040
10,풀스택,C#,학사,대기업 (1000명~),7200
23,QA,JavaScript/TypeScript,학사,중견기업 (300~1000명),7570
7,ML 엔지니어,Go,박사,대기업 (1000명~),7960
6,프론트엔드,Kotlin,학사,중소기업 (50~300명),5940
17,풀스택,기타,학사,중견기업 (300~1000명),7630
16,프론트엔드,SQL,학사,중소기업 (50~300명),7330
3,풀스택,JavaScript/TypeScript,학사,중견기업 (300~1000명),4820
21,모바일,Java,학사,대기업 (1000명~),8810
5,프론트엔드,SQL,석사,대기업 (1000명~),7350
20,백엔드,C#,박사,중소기업 (50~300명),9320
0,모바일,Python,학사,중견기업 (300~1000명),3480
20,ML 엔지니어,SQL,학사,대기업 (1000명~),8790
20,풀스택,Go,학사,대기업 (1000명~),8540
20,DevOps/인프라,Python,석사,중견기업 (300~1000명),8840
17,모바일,SQL,학사,스타트업 (~50명),6820
12,QA,Go,학사,중소기업 (50~300명),7770
18,풀스택,Go,박사,대기업 (1000명~),9340
7,데이터 분석가,SQL,석사,중견기업 (300~1000명),6760
20,ML 엔지니어,C#,학사,중견기업 (300~1000명),9450
14,백엔드,C#,학사,중견기업 (300~1000명),7670
11,QA,Go,학사,중소기업 (50~300명),7070
13,모바일,Java,학사,중소기업 (50~300명),6840
14,데이터 분석가,Java,학사,대기업 (1000명~),7450
0,데이터 엔지니어,SQL,학사,중소기업 (50~300명),3810
3,데이터 엔지니어,Java,학사,중견기업 (300~1000명),7040
6,백엔드,C#,학사,중견기업 (300~1000명),6800
2,DevOps/인프라,JavaScript/TypeScript,학사,대기업 (1000명~),6280
11,데이터 엔지니어,JavaScript/TypeScript,학사,중소기업 (50~300명),6680
17,QA,Go,석사,중견기업 (300~1000명),8620
17,데이터 분석가,SQL,학사,스타트업 (~50명),6730
12,데이터 엔지니어,C/C++,석사,스타트업 (~50명),6690
22,모바일,Java,학사,중소기업 (50~300명),7900
14,QA,JavaScript/TypeScript,학사,스타트업 (~50명),7780
2,DevOps/인프라,Java,석사,대기업 (1000명~),7280
19,QA,SQL,학사,대기업 (1000명~),8200
14,데이터 분석가,JavaScript/TypeScript,학사,스타트업 (~50명),6740
16,DevOps/인프라,C/C++,학사,대기업 (1000명~),7840
14,모바일,Python,학사,중소기업 (50~300명),7380
14,데이터 분석가,C#,학사,중견기업 (300~1000명),7650
2,ML 엔지니어,기타,학사,대기업 (1000명~),6730
14,백엔드,C/C++,학사,중견기업 (300~1000명),8210
20,ML 엔지니어,Go,학사,스타트업 (~50명),8290
7,백엔드,Java,고졸,스타트업 (~50명),6280
15,데이터 엔지니어,Java,학사,중소기업 (50~300명),7320
0,데이터 분석가,Kotlin,학사,대기업 (1000명~),5020
9,데이터 분석가,Python,학사,중견기업 (300~1000명),6770
11,데이터 분석가,C#,학사,중소기업 (50~300명),7050
25,데이터 분석가,JavaScript/TypeScript,학사,스타트업 (~50명),8350
5,모바일,Python,고졸,대기업 (1000명~),6670
7,데이터 분석가,C#,학사,중소기업 (50~300명),6600
10,데이터 엔지니어,기타,고졸,중견기업 (300~1000명),6390
25,ML 엔지니어,Python,학사,중견기업 (300~1000명),8820
22,데이터 분석가,SQL,박사,중소기업 (50~300명),8530
0,데이터 엔지니어,C#,석사,스타트업 (~50명),3510
6,DevOps/인프라,Kotlin,학사,중소기업 (50~300명),6200
21,QA,Python,학사,중소기업 (50~300명),7760
1,백엔드,SQL,학사,중견기업 (300~1000명),5770
22,ML 엔지니어,Python,석사,대기업 (1000명~),10190
7,풀스택,기타,석사,스타트업 (~50명),6740
23,프론트엔드,Go,학사,중소기업 (50~300명),8500
7,DevOps/인프라,C/C++,학사,스타트업 (~50명),6120
11,백엔드,Python,학사,스타트업 (~50명),6900
17,DevOps/인프라,Go,석사,중견기업 (300~1000명),8890
3,ML 엔지니어,Python,석사,중견기업 (300~1000명),7550
14,QA,Go,학사,중견기업 (300~1000명),7560
13,ML 엔지니어,Kotlin,학사,스타트업 (~50명),6780
20,DevOps/인프라,JavaScript/TypeScript,학사,중견기업 (300~1000명),7680
25,프론트엔드,JavaScript/TypeScript,학사,중소기업 (50~300명),8230
17,QA,Java,석사,대기업 (1000명~),7460
10,프론트엔드,JavaScript/TypeScript,학사,중견기업 (300~1000명),7880
10,풀스택,Java,학사,대기업 (1000명~),7860
10,프론트엔드,JavaScript/TypeScript,학사,스타트업 (~50명),6240
21,모바일,Go,학사,중소기업 (50~300명),7700
8,ML 엔지니어,JavaScript/TypeScript,석사,중견기업 (300~1000명),8390
4,풀스택,SQL,학사,중소기업 (50~300명),5180
8,DevOps/인프라,SQL,석사,중견기업 (300~1000명),6720
0,데이터 엔지니어,Kotlin,학사,중소기업 (50~300명),3890
2,데이터 엔지니어,C#,학사,대기업 (1000명~),6230
2,QA,JavaScript/TypeScript,학사,스타트업 (~50명),5080
20,모바일,기타,고졸,대기업 (1000명~),9040
18,모바일,Java,학사,중소기업 (50~300명),8220
18,QA,C#,학사,중소기업 (50~300명),7530
12,데이터 엔지니어,C#,학사,중소기업 (50~300명),7690
18,데이터 엔지니어,Kotlin,학사,중소기업 (50~300명),7750
4,풀스택,C#,학사,대기업 (1000명~),5690
23,프론트엔드,SQL,고졸,대기업 (1000명~),8490
13,프론트엔드,기타,석사,대기업 (1000명~),7730
24,풀스택,C/C++,석사,대기업 (1000명~),9200
3,프론트엔드,SQL,고졸,중견기업 (300~1000명),5160
12,ML 엔지니어,Java,석사,중소기업 (50~300명),7960
18,백엔드,기타,석사,대기업 (1000명~),9050
12,데이터 엔지니어,Java,박사,스타트업 (~50명),8440
11,QA,SQL,학사,대기업 (1000명~),6690
4,ML 엔지니어,C/C++,학사,중소기업 (50~300명),5700
9,모바일,기타,학사,중견기업 (300~1000명),6520
6,백엔드,Java,석사,중소기업 (50~300명),6800
7,DevOps/인프라,C#,석사,중소기업 (50~300명),6600
17,백엔드,기타,학사,스타트업 (~50명),7080
16,ML 엔지니어,Python,학사,중소기업 (50~300명),8370
15,ML 엔지니어,JavaScript/TypeScript,석사,중소기업 (50~300명),8950
9,프론트엔드,Python,석사,스타트업 (~50명),6690
24,ML 엔지니어,JavaScript/TypeScript,학사,스타트업 (~50명),8220
2,프론트엔드,C/C++,학사,중견기업 (300~1000명),5720
8,풀스택,Go,학사,중소기업 (50~300명),6540
3,DevOps/인프라,JavaScript/TypeScript,학사,대기업 (1000명~),6330
8,QA,Java,학사,스타트업 (~50명),5870
25,풀스택,Java,석사,중견기업 (300~1000명),9470
9,QA,기타,박사,스타트업 (~50명),6860
23,QA,기타,학사,중소기업 (50~300명),8430
12,ML 엔지니어,Java,학사,중견기업 (300~1000명),8470
18,프론트엔드,Java,학사,중견기업 (300~1000명),8270
11,풀스택,Python,학사,중소기업 (50~300명),6760
6,ML 엔지니어,기타,학사,중소기업 (50~300명),6970
19,QA,Kotlin,학사,스타트업 (~50명),7760
25,DevOps/인프라,Kotlin,학사,중소기업 (50~300명),9850
6,모바일,JavaScript/TypeScript,학사,중소기업 (50~300명),6250
20,풀스택,Go,학사,중견기업 (300~1000명),8790
6,QA,Python,석사,중소기업 (50~300명),6390
18,풀스택,Kotlin,학사,중견기업 (300~1000명),8150
20,모바일,Go,학사,중소기업 (50~300명),7990
11,QA,JavaScript/TypeScript,석사,스타트업 (~50명),6900
19,데이터 엔지니어,Kotlin,학사,중소기업 (50~300명),8390
7,풀스택,Go,학사,스타트업 (~50명),6800
2,백엔드,C/C++,학사,중소기업 (50~300명),5490
2,모바일,Java,학사,대기업 (1000명~),5790
11,QA,Python,학사,중견기업 (300~1000명),6990
23,모바일,기타,학사,중소기업 (50~300명),7550
3,ML 엔지니어,JavaScript/TypeScript,학사,스타트업 (~50명),6490
11,풀스택,JavaScript/TypeScript,학사,대기업 (1000명~),7470
18,ML 엔지니어,Kotlin,학사,스타트업 (~50명),8530
5,ML 엔지니어,JavaScript/TypeScript,학사,중소기업 (50~300명),6520
18,데이터 엔지니어,C/C++,고졸,대기업 (1000명~),8840
7,ML 엔지니어,Kotlin,학사,중소기업 (50~300명),6810
21,데이터 엔지니어,Go,석사,스타트업 (~50명),8120
15,모바일,Go,학사,중소기업 (50~300명),7130
14,ML 엔지니어,Python,학사,중견기업 (300~1000명),8950
4,DevOps/인프라,C#,학사,스타트업 (~50명),5710
12,DevOps/인프라,C#,학사,중견기업 (300~1000명),8030
22,프론트엔드,Go,석사,중소기업 (50~300명),9140
0,ML 엔지니어,Java,학사,중소기업 (50~300명),4220
19,백엔드,Java,학사,스타트업 (~50명),7910
12,데이터 엔지니어,Kotlin,석사,대기업 (1000명~),8420
18,데이터 엔지니어,Kotlin,석사,중소기업 (50~300명),7780
17,모바일,SQL,학사,중견기업 (300~1000명),7840
11,QA,JavaScript/TypeScript,고졸,중소기업 (50~300명),6830
8,DevOps/인프라,기타,학사,스타트업 (~50명),6120
16,백엔드,JavaScript/TypeScript,학사,중소기업 (50~300명),7430
3,프론트엔드,Go,학사,중소기업 (50~300명),5530
15,프론트엔드,Java,학사,중소기업 (50~300명),8340
2,QA,기타,석사,대기업 (1000명~),5150
16,데이터 분석가,JavaScript/TypeScript,학사,대기업 (1000명~),8510
16,ML 엔지니어,SQL,고졸,중견기업 (300~1000명),8020
2,DevOps/인프라,JavaScript/TypeScript,고졸,중견기업 (300~1000명),5260
19,ML 엔지니어,SQL,학사,중소기업 (50~300명),8130
10,백엔드,C#,학사,중견기업 (300~1000명),7460
20,프론트엔드,Python,석사,중소기업 (50~300명),8550
1,모바일,Java,학사,대기업 (1000명~),5710
4,모바일,Kotlin,학사,대기업 (1000명~),7100
12,ML 엔지니어,Java,학사,중소기업 (50~300명),8090
4,프론트엔드,JavaScript/TypeScript,학사,대기업 (1000명~),6850
8,모바일,C#,학사,대기업 (1000명~),6990
17,풀스택,JavaScript/TypeScript,석사,중소기업 (50~300명),8110
3,프론트엔드,Java,학사,대기업 (1000명~),6480
17,프론트엔드,Go,학사,스타트업 (~50명),7190
2,프론트엔드,Kotlin,박사,스타트업 (~50명),4950
4,데이터 엔지니어,Kotlin,고졸,중소기업 (50~300명),4970
15,모바일,기타,석사,중견기업 (300~1000명),7950
20,모바일,Java,학사,중소기업 (50~300명),8090
4,데이터 분석가,C/C++,학사,대기업 (1000명~),6050
7,ML 엔지니어,JavaScript/TypeScript,석사,중소기업 (50~300명),7880
24,DevOps/인프라,기타,학사,중소기업 (50~300명),8480
25,데이터 분석가,C#,학사,중견기업 (300~1000명),9320
15,데이터 엔지니어,Python,학사,스타트업 (~50명),7650
11,ML 엔지니어,Kotlin,학사,중견기업 (300~1000명),7340
9,ML 엔지니어,Python,학사,중소기업 (50~300명),7360
15,프론트엔드,JavaScript/TypeScript,학사,대기업 (1000명~),8470
15,QA,Kotlin,석사,중견기업 (300~1000명),7670
7,프론트엔드,C#,학사,스타트업 (~50명),5390
0,모바일,Kotlin,학사,스타트업 (~50명),3860
3,데이터 엔지니어,Go,고졸,스타트업 (~50명),5060
24,모바일,SQL,학사,대기업 (1000명~),9570
10,풀스택,Go,고졸,중견기업 (300~1000명),6960
12,QA,Python,고졸,중소기업 (50~300명),7540
12,백엔드,Python,학사,스타트업 (~50명),6010
20,풀스택,Kotlin,학사,대기업 (1000명~),8920
1,QA,Python,학사,스타트업 (~50명),5140
2,ML 엔지니어,C/C++,학사,중견기업 (300~1000명),5700
7,백엔드,Python,학사,중견기업 (300~1000명),6710
12,ML 엔지니어,JavaScript/TypeScript,박사,중소기업 (50~300명),8320
17,QA,Go,석사,중소기업 (50~300명),7550
12,백엔드,Java,학사,스타트업 (~50명),7030
11,모바일,C#,박사,중소기업 (50~300명),6890
24,데이터 분석가,기타,석사,대기업 (1000명~),9210
4,프론트엔드,Python,학사,중견기업 (300~1000명),6330
14,프론트엔드,Python,석사,대기업 (1000명~),8270
14,프론트엔드,JavaScript/TypeScript,학사,중소기업 (50~300명),6800
12,프론트엔드,SQL,학사,스타트업 (~50명),7210
20,모바일,C/C++,학사,중견기업 (300~1000명),8710
6,데이터 분석가,Go,고졸,중소기업 (50~300명),5640
24,풀스택,Python,학사,스타트업 (~50명),7630
8,풀스택,Kotlin,박사,중소기업 (50~300명),6750
14,프론트엔드,Python,학사,중견기업 (300~1000명),7910
13,DevOps/인프라,Kotlin,학사,중견기업 (300~1000명),7900
22,프론트엔드,Java,학사,스타트업 (~50명),8280
11,QA,SQL,학사,대기업 (1000명~),7320
7,데이터 분석가,JavaScript/TypeScript,석사,중소기업 (50~300명),6100
0,DevOps/인프라,Java,석사,중소기업 (50~300명),4760
9,데이터 엔지니어,C/C++,학사,스타트업 (~50명),6480
21,풀스택,Python,학사,대기업 (1000명~),9010
0,데이터 엔지니어,Java,고졸,중소기업 (50~300명),3300
23,풀스택,Go,학사,중소기업 (50~300명),8160
14,프론트엔드,JavaScript/TypeScript,석사,스타트업 (~50명),7750
3,풀스택,C/C++,석사,중견기업 (300~1000명),5870
7,풀스택,SQL,학사,중견기업 (300~1000명),6980
14,프론트엔드,Java,학사,중소기업 (50~300명),6220
8,백엔드,C/C++,학사,대기업 (1000명~),7170
2,QA,Java,학사,스타트업 (~50명),4750
17,데이터 분석가,C#,학사,스타트업 (~50명),8150
17,모바일,JavaScript/TypeScript,학사,중견기업 (300~1000명),7440
3,QA,Python,학사,중견기업 (300~1000명),6010
7,풀스택,Python,석사,중소기업 (50~300명),7110
6,모바일,SQL,학사,중견기업 (300~1000명),6090
17,DevOps/인프라,Python,고졸,중소기업 (50~300명),7540
18,데이터 엔지니어,SQL,학사,중견기업 (300~1000명),8310
18,모바일,기타,학사,중견기업 (300~1000명),7330
24,풀스택,C#,학사,대기업 (1000명~),8910
19,백엔드,JavaScript/TypeScript,학사,중소기업 (50~300명),8480
8,백엔드,Kotlin,석사,중견기업 (300~1000명),7460
2,프론트엔드,기타,학사,중견기업 (300~1000명),5350
15,DevOps/인프라,Java,학사,중소기업 (50~300명),7640
23,데이터 엔지니어,기타,석사,중소기업 (50~300명),8880
25,모바일,기타,학사,대기업 (1000명~),9480
5,DevOps/인프라,Java,학사,스타트업 (~50명),5660
6,프론트엔드,Python,학사,중견기업 (300~1000명),7200
0,프론트엔드,Kotlin,학사,스타트업 (~50명),4370
3,모바일,Python,석사,대기업 (1000명~),6890
14,QA,Go,석사,스타트업 (~50명),6940
14,데이터 엔지니어,Python,학사,대기업 (1000명~),7910
9,DevOps/인프라,Kotlin,학사,중견기업 (300~1000명),7080
8,풀스택,JavaScript/TypeScript,학사,스타트업 (~50명),6300
21,DevOps/인프라,Python,석사,중견기업 (300~1000명),8080
11,백엔드,Python,학사,중견기업 (300~1000명),7610
21,풀스택,Java,석사,중소기업 (50~300명),8900
25,데이터 분석가,C#,고졸,중소기업 (50~300명),8470
8,백엔드,Python,고졸,중견기업 (300~1000명),6490
5,DevOps/인프라,SQL,학사,중견기업 (300~1000명),6030
24,DevOps/인프라,Go,학사,중소기업 (50~300명),8790
16,데이터 분석가,JavaScript/TypeScript,석사,대기업 (1000명~),8460
7,풀스택,기타,학사,중소기업 (50~300명),6430
16,백엔드,Go,학사,스타트업 (~50명),7820
13,데이터 엔지니어,Kotlin,학사,중견기업 (300~1000명),8320
23,데이터 분석가,Java,학사,스타트업 (~50명),7510
6,ML 엔지니어,Kotlin,학사,중소기업 (50~300명),6780
25,데이터 엔지니어,Go,학사,중소기업 (50~300명),8640
24,프론트엔드,기타,학사,중소기업 (50~300명),8160
4,프론트엔드,C#,학사,스타트업 (~50명),5850
4,DevOps/인프라,Kotlin,석사,중견기업 (300~1000명),7020
13,프론트엔드,C/C++,학사,중소기업 (50~300명),7850
1,QA,Python,석사,대기업 (1000명~),5940
7,백엔드,Java,석사,중견기업 (300~1000명),6930
11,ML 엔지니어,SQL,학사,중소기업 (50~300명),7200
25,QA,Kotlin,학사,중소기업 (50~300명),7550
25,모바일,C/C++,석사,중견기업 (300~1000명),9710
3,백엔드,Kotlin,학사,스타트업 (~50명),5290
23,DevOps/인프라,Python,학사,스타트업 (~50명),8490
2,프론트엔드,Python,고졸,대기업 (1000명~),6180
19,데이터 분석가,C#,학사,중견기업 (300~1000명),7570
21,QA,Go,학사,중견기업 (300~1000명),7960
23,ML 엔지니어,기타,석사,스타트업 (~50명),9760
5,백엔드,Kotlin,학사,스타트업 (~50명),6020
23,DevOps/인프라,JavaScript/TypeScript,석사,중소기업 (50~300명),8380
3,프론트엔드,SQL,학사,중견기업 (300~1000명),5680
13,ML 엔지니어,C#,학사,중소기업 (50~300명),8090
12,데이터 엔지니어,SQL,학사,스타트업 (~50명),7420
8,풀스택,Java,학사,스타트업 (~50명),5640
0,모바일,Python,학사,중견기업 (300~1000명),5070
20,프론트엔드,Python,학사,중견기업 (300~1000명),8760
8,QA,기타,학사,스타트업 (~50명),5930
17,풀스택,Python,학사,스타트업 (~50명),6970
10,풀스택,기타,학사,중소기업 (50~300명),7170
9,데이터 분석가,Kotlin,학사,스타트업 (~50명),6690
23,ML 엔지니어,Java,학사,중소기업 (50~300명),8060
2,데이터 분석가,SQL,학사,스타트업 (~50명),4800
19,데이터 분석가,Java,학사,중견기업 (300~1000명),9580
19,데이터 엔지니어,Java,학사,중견기업 (300~1000명),8430
9,DevOps/인프라,Go,학사,대기업 (1000명~),7420
6,모바일,JavaScript/TypeScript,학사,대기업 (1000명~),6460
0,DevOps/인프라,JavaScript/TypeScript,학사,중소기업 (50~300명),4880
24,DevOps/인프라,Java,학사,스타트업 (~50명),8690
24,QA,Go,학사,중소기업 (50~300명),8940
6,QA,Python,학사,중견기업 (300~1000명),6470
0,DevOps/인프라,JavaScript/TypeScript,석사,스타트업 (~50명),4690
3,풀스택,C#,석사,중소기업 (50~300명),5340
1,ML 엔지니어,C#,학사,중소기업 (50~300명),5330
21,ML 엔지니어,Kotlin,학사,스타트업 (~50명),8530
23,풀스택,Java,학사,중견기업 (300~1000명),9240
3,ML 엔지니어,Go,박사,중견기업 (300~1000명),7600
19,풀스택,Kotlin,학사,중소기업 (50~300명),7670
4,데이터 분석가,C/C++,학사,대기업 (1000명~),6610
9,DevOps/인프라,JavaScript/TypeScript,학사,스타트업 (~50명),5830
15,프론트엔드,C#,학사,스타트업 (~50명),6100
18,모바일,Go,학사,중소기업 (50~300명),8270
22,DevOps/인프라,Python,학사,중견기업 (300~1000명),8550
1,데이터 분석가,Go,학사,중견기업 (300~1000명),5180
5,QA,Java,학사,스타트업 (~50명),5940
7,백엔드,Go,석사,대기업 (1000명~),8210
8,ML 엔지니어,기타,석사,중소기업 (50~300명),7740
25,DevOps/인프라,C#,학사,중소기업 (50~300명),9430
20,QA,Kotlin,학사,중견기업 (300~1000명),8430
8,프론트엔드,JavaScript/TypeScript,학사,대기업 (1000명~),7360
25,QA,기타,석사,중견기업 (300~1000명),8860
12,모바일,SQL,석사,대기업 (1000명~),7450
13,모바일,기타,학사,스타트업 (~50명),7310
11,모바일,Kotlin,석사,중견기업 (300~1000명),6490
3,데이터 엔지니어,Go,학사,대기업 (1000명~),6400
24,데이터 엔지니어,C#,학사,중소기업 (50~300명),8530
0,데이터 분석가,기타,학사,중소기업 (50~300명),3440
4,백엔드,SQL,학사,대기업 (1000명~),6330
5,QA,C/C++,학사,스타트업 (~50명),6470
7,프론트엔드,Python,학사,중소기업 (50~300명),6830
3,백엔드,Python,석사,대기업 (1000명~),6350
0,데이터 엔지니어,JavaScript/TypeScript,학사,대기업 (1000명~),4720
17,모바일,Python,석사,대기업 (1000명~),8170
25,데이터 엔지니어,Java,석사,대기업 (1000명~),10020
3,DevOps/인프라,Python,학사,스타트업 (~50명),5400
7,백엔드,기타,석사,대기업 (1000명~),6450
13,풀스택,Python,학사,중소기업 (50~300명),7290
24,데이터 분석가,Go,학사,중견기업 (300~1000명),9010
18,DevOps/인프라,C/C++,학사,중소기업 (50~300명),8430
19,데이터 엔지니어,Java,학사,대기업 (1000명~),8840
15,모바일,Kotlin,석사,중견기업 (300~1000명),7930
10,데이터 엔지니어,기타,학사,대기업 (1000명~),8590
5,QA,SQL,학사,스타트업 (~50명),5500
22,데이터 분석가,기타,학사,스타트업 (~50명),8150
20,DevOps/인프라,Go,학사,중소기업 (50~300명),8030
0,DevOps/인프라,Kotlin,석사,스타트업 (~50명),4540
18,풀스택,Java,학사,중견기업 (300~1000명),7460
2,풀스택,SQL,석사,중소기업 (50~300명),5190
19,ML 엔지니어,Kotlin,학사,중견기업 (300~1000명),8210
21,프론트엔드,JavaScript/TypeScript,석사,스타트업 (~50명),7780
3,모바일,C/C++,학사,스타트업 (~50명),5930
11,풀스택,Go,학사,중견기업 (300~1000명),7160
3,데이터 엔지니어,Python,학사,중소기업 (50~300명),6080
14,풀스택,SQL,학사,스타트업 (~50명),7730
24,데이터 엔지니어,JavaScript/TypeScript,석사,스타트업 (~50명),8580
2,QA,Python,학사,스타트업 (~50명),5320
10,DevOps/인프라,JavaScript/TypeScript,학사,중견기업 (300~1000명),7520
25,QA,SQL,석사,스타트업 (~50명),8280
7,백엔드,JavaScript/TypeScript,고졸,중소기업 (50~300명),6550
3,데이터 분석가,C#,학사,중견기업 (300~1000명),6600
12,프론트엔드,SQL,박사,중소기업 (50~300명),7260
13,QA,Python,학사,중견기업 (300~1000명),6960
17,ML 엔지니어,Kotlin,석사,중소기업 (50~300명),8380
8,풀스택,JavaScript/TypeScript,학사,대기업 (1000명~),7720
24,데이터 엔지니어,Kotlin,석사,중소기업 (50~300명),9400
13,데이터 엔지니어,Java,학사,중소기업 (50~300명),7150
7,데이터 분석가,Java,학사,대기업 (1000명~),6120
24,데이터 분석가,SQL,학사,중견기업 (300~1000명),8290
24,백엔드,SQL,석사,중견기업 (300~1000명),9190
12,데이터 분석가,기타,학사,대기업 (1000명~),7690
0,모바일,Kotlin,박사,스타트업 (~50명),4490
15,DevOps/인프라,C#,학사,대기업 (1000명~),8110
14,DevOps/인프라,Java,학사,중견기업 (300~1000명),8270
3,ML 엔지니어,JavaScript/TypeScript,석사,중소기업 (50~300명),6740
16,백엔드,Go,학사,중소기업 (50~300명),8010
