브랜드,차종,연식,주행거리_만km,연료,사고이력,가격_만원
KG모빌리티,중형,2013,7.6,가솔린,무사고,480.0
기아,준중형,2019,7.8,가솔린,단순수리,810.0
BMW,중형,2026,0.0,하이브리드,무사고,6540.0
벤츠,대형,2026,0.9,디젤,무사고,9930.0
르노코리아,준중형,2021,10.0,디젤,단순수리,820.0
볼보,중형,2008,26.6,하이브리드,단순수리,330.0
기아,전기차 전용,2014,20.1,전기,무사고,840.0
아우디,준중형,2011,15.8,디젤,단순수리,340.0
기아,SUV,2008,31.1,가솔린,단순수리,260.0
아우디,준중형,2016,13.9,가솔린,무사고,790.0
BMW,대형,2025,1.8,가솔린,무사고,8160.0
기아,준중형,2011,26.2,하이브리드,무사고,250.0
제네시스,SUV,2009,14.9,가솔린,무사고,460.0
르노코리아,SUV,2019,8.6,가솔린,무사고,1170.0
볼보,SUV,2015,15.5,가솔린,무사고,920.0
기아,경차,2021,4.4,하이브리드,무사고,680.0
현대,대형,2024,1.6,가솔린,단순수리,4050.0
르노코리아,SUV,2026,0.4,가솔린,무사고,3550.0
벤츠,SUV,2021,5.0,가솔린,무사고,3400.0
기아,SUV,2013,11.1,가솔린,단순수리,560.0
현대,중형,2021,9.0,가솔린,무사고,1420.0
아우디,준중형,2026,0.5,가솔린,무사고,4260.0
기아,대형,2008,27.0,가솔린,무사고,370.0
BMW,대형,2019,13.0,하이브리드,단순수리,2740.0
BMW,대형,2013,14.8,디젤,사고이력,940.0
KG모빌리티,SUV,2017,6.9,가솔린,무사고,990.0
현대,경차,2011,28.0,하이브리드,단순수리,150.0
벤츠,SUV,2020,10.7,디젤,무사고,2320.0
벤츠,준중형,2026,0.3,가솔린,단순수리,4620.0
현대,경차,2011,21.0,디젤,무사고,150.0
BMW,SUV,2019,11.9,디젤,단순수리,1810.0
KG모빌리티,중형,2019,5.0,가솔린,단순수리,1090.0
현대,중형,2019,5.5,하이브리드,무사고,1440.0
기아,SUV,2016,18.9,가솔린,무사고,660.0
현대,중형,2011,17.0,가솔린,무사고,330.0
기아,경차,2023,3.4,하이브리드,무사고,970.0
테슬라,전기차 전용,2015,6.6,전기,사고이력,1500.0
BMW,대형,2012,28.0,가솔린,단순수리,1060.0
폭스바겐,SUV,2013,8.2,LPG,무사고,750.0
쉐보레,중형,2015,7.0,가솔린,단순수리,620.0
기아,전기차 전용,2018,6.8,전기,무사고,1750.0
BMW,중형,2025,0.9,하이브리드,단순수리,5420.0
BMW,대형,2020,10.0,LPG,무사고,3320.0
제네시스,중형,2008,24.9,가솔린,무사고,340.0
KG모빌리티,SUV,2015,23.4,가솔린,무사고,540.0
르노코리아,준중형,2020,12.5,디젤,무사고,660.0
쉐보레,SUV,2008,28.6,디젤,무사고,230.0
제네시스,대형,2008,12.5,LPG,무사고,580.0
아우디,중형,2023,3.5,디젤,단순수리,3020.0
테슬라,전기차 전용,2008,35.7,전기,무사고,530.0
쉐보레,SUV,2014,10.2,가솔린,단순수리,610.0
벤츠,SUV,2010,15.9,가솔린,무사고,650.0
테슬라,전기차 전용,2015,18.5,전기,단순수리,1170.0
현대,중형,2019,6.6,가솔린,사고이력,1070.0
르노코리아,준중형,2022,2.9,가솔린,단순수리,1220.0
테슬라,전기차 전용,2024,5.1,전기,사고이력,4740.0
쉐보레,중형,2018,9.0,가솔린,무사고,940.0
렉서스,대형,2019,9.4,가솔린,무사고,2960.0
기아,SUV,2021,9.2,하이브리드,무사고,1900.0
벤츠,SUV,2023,4.5,LPG,무사고,4160.0
벤츠,준중형,2016,21.0,디젤,무사고,750.0
볼보,SUV,2015,13.6,가솔린,단순수리,950.0
현대,SUV,2018,10.9,가솔린,무사고,1090.0
BMW,준중형,2017,11.5,디젤,무사고,1030.0
볼보,중형,2010,24.0,디젤,무사고,410.0
기아,중형,2017,19.1,하이브리드,사고이력,650.0
현대,SUV,2023,1.6,하이브리드,단순수리,2690.0
제네시스,SUV,2023,5.9,하이브리드,무사고,3530.0
BMW,SUV,2026,0.0,하이브리드,무사고,7350.0
포르쉐,스포츠카,2008,26.2,하이브리드,무사고,1920.0
현대,준중형,2022,7.4,가솔린,사고이력,970.0
기아,준중형,2018,8.4,가솔린,무사고,780.0
벤츠,준중형,2018,5.6,가솔린,단순수리,1380.0
아우디,준중형,2011,11.7,가솔린,무사고,490.0
폭스바겐,준중형,2009,34.0,하이브리드,단순수리,250.0
KG모빌리티,중형,2020,12.9,가솔린,무사고,1060.0
쉐보레,경차,2020,10.2,가솔린,단순수리,440.0
현대,준중형,2022,4.4,가솔린,무사고,1350.0
현대,SUV,2009,27.8,가솔린,단순수리,290.0
KG모빌리티,SUV,2025,2.1,가솔린,단순수리,2830.0
볼보,중형,2019,10.9,디젤,단순수리,1460.0
르노코리아,중형,2009,25.5,가솔린,무사고,240.0
기아,전기차 전용,2011,9.3,전기,무사고,660.0
BMW,대형,2013,19.3,하이브리드,무사고,1340.0
현대,전기차 전용,2026,0.0,전기,무사고,5500.0
폭스바겐,중형,2021,4.9,가솔린,단순수리,2050.0
BMW,SUV,2020,7.2,가솔린,단순수리,2470.0
쉐보레,SUV,2012,12.5,가솔린,무사고,460.0
제네시스,대형,2015,13.5,가솔린,단순수리,1430.0
벤츠,SUV,2016,17.6,가솔린,무사고,1240.0
현대,중형,2015,8.5,디젤,사고이력,520.0
BMW,SUV,2016,4.9,가솔린,무사고,1730.0
KG모빌리티,SUV,2008,13.6,가솔린,무사고,250.0
기아,중형,2008,37.5,가솔린,무사고,260.0
BMW,대형,2019,14.9,LPG,무사고,2410.0
쉐보레,경차,2015,23.1,LPG,무사고,180.0
포르쉐,SUV,2009,35.0,디젤,무사고,850.0
벤츠,준중형,2016,8.5,하이브리드,무사고,1210.0
포르쉐,SUV,2008,14.1,가솔린,무사고,880.0
BMW,중형,2014,19.8,가솔린,무사고,890.0
벤츠,SUV,2016,10.1,가솔린,무사고,1690.0
기아,경차,2023,2.6,가솔린,무사고,950.0
테슬라,SUV,2024,1.8,전기,무사고,5220.0
KG모빌리티,중형,2014,9.4,가솔린,사고이력,450.0
포르쉐,SUV,2009,25.9,가솔린,무사고,870.0
BMW,SUV,2011,19.5,가솔린,사고이력,520.0
폭스바겐,준중형,2020,11.3,하이브리드,단순수리,1090.0
현대,SUV,2019,3.9,가솔린,무사고,1460.0
BMW,대형,2023,6.2,가솔린,무사고,5750.0
벤츠,준중형,2011,33.2,하이브리드,무사고,470.0
벤츠,준중형,2009,30.7,가솔린,무사고,360.0
기아,준중형,2024,4.4,가솔린,단순수리,1790.0
현대,대형,2014,10.8,디젤,무사고,930.0
기아,중형,2010,16.5,디젤,무사고,300.0
현대,중형,2012,13.4,디젤,단순수리,350.0
기아,대형,2020,6.7,하이브리드,무사고,2590.0
포르쉐,스포츠카,2016,15.8,가솔린,사고이력,3630.0
BMW,준중형,2022,6.0,가솔린,무사고,2230.0
BMW,SUV,2016,9.3,가솔린,무사고,1520.0
기아,경차,2021,6.2,LPG,단순수리,550.0
볼보,중형,2025,0.1,디젤,무사고,4020.0
현대,준중형,2020,11.1,가솔린,무사고,900.0
KG모빌리티,SUV,2025,1.7,하이브리드,사고이력,2480.0
현대,준중형,2009,20.1,LPG,무사고,190.0
아우디,중형,2020,9.4,디젤,무사고,2110.0
기아,SUV,2012,24.1,가솔린,단순수리,380.0
벤츠,SUV,2013,13.0,가솔린,무사고,990.0
기아,SUV,2011,21.5,디젤,사고이력,290.0
테슬라,SUV,2009,10.7,전기,단순수리,590.0
현대,경차,2022,4.8,가솔린,사고이력,570.0
폭스바겐,중형,2020,11.0,하이브리드,무사고,1570.0
BMW,중형,2014,8.5,가솔린,무사고,1040.0
테슬라,전기차 전용,2013,27.9,전기,무사고,1080.0
BMW,준중형,2021,3.0,가솔린,단순수리,2200.0
벤츠,준중형,2021,10.4,가솔린,단순수리,1720.0
현대,경차,2017,19.0,가솔린,무사고,260.0
현대,전기차 전용,2021,10.0,전기,무사고,2230.0
현대,준중형,2018,13.8,가솔린,무사고,600.0
현대,대형,2025,2.0,하이브리드,단순수리,5190.0
쉐보레,경차,2008,11.0,가솔린,무사고,150.0
아우디,SUV,2019,6.9,가솔린,무사고,2200.0
기아,대형,2023,6.3,가솔린,단순수리,3230.0
기아,준중형,2020,7.6,가솔린,무사고,960.0
현대,경차,2010,34.4,가솔린,무사고,150.0
BMW,대형,2025,0.4,디젤,무사고,8460.0
렉서스,중형,2016,22.0,가솔린,무사고,890.0
폭스바겐,준중형,2009,18.0,가솔린,무사고,250.0
현대,경차,2017,9.1,가솔린,단순수리,360.0
현대,전기차 전용,2026,0.0,전기,단순수리,5470.0
폭스바겐,준중형,2017,13.3,가솔린,단순수리,630.0
기아,경차,2009,14.3,디젤,무사고,150.0
쉐보레,준중형,2014,21.5,가솔린,무사고,350.0
아우디,SUV,2017,12.1,LPG,무사고,1290.0
포르쉐,스포츠카,2021,2.3,가솔린,무사고,12990.0
테슬라,SUV,2025,2.0,전기,무사고,5210.0
벤츠,SUV,2009,11.4,가솔린,무사고,660.0
폭스바겐,중형,2019,13.8,하이브리드,무사고,1300.0
테슬라,전기차 전용,2013,7.0,전기,무사고,1420.0
KG모빌리티,SUV,2024,2.2,가솔린,단순수리,2230.0
